Series ID,Year,Period,Label,Value,12-Month % Change
CUSR0000SA0,1952,M08,1952 Aug,26.69,3.2
CUSR0000SA0,1952,M09,1952 Sep,26.63,2.3
CUSR0000SA0,1952,M10,1952 Oct,26.69,2.0
CUSR0000SA0,1952,M11,1952 Nov,26.69,1.4
CUSR0000SA0,1952,M12,1952 Dec,26.71,0.9
CUSR0000SA0,1953,M01,1953 Jan,26.64,0.7
CUSR0000SA0,1953,M02,1953 Feb,26.59,0.7
CUSR0000SA0,1953,M03,1953 Mar,26.63,0.9
CUSR0000SA0,1953,M04,1953 Apr,26.69,0.9
CUSR0000SA0,1953,M05,1953 May,26.70,0.9
CUSR0000SA0,1953,M06,1953 Jun,26.77,0.9
CUSR0000SA0,1953,M07,1953 Jul,26.79,0.4
CUSR0000SA0,1953,M08,1953 Aug,26.85,0.6
CUSR0000SA0,1953,M09,1953 Sep,26.89,1.0
CUSR0000SA0,1953,M10,1953 Oct,26.95,1.0
CUSR0000SA0,1953,M11,1953 Nov,26.85,0.6
CUSR0000SA0,1953,M12,1953 Dec,26.87,0.6
CUSR0000SA0,1954,M01,1954 Jan,26.94,1.1
CUSR0000SA0,1954,M02,1954 Feb,26.99,1.5
CUSR0000SA0,1954,M03,1954 Mar,26.93,1.1
CUSR0000SA0,1954,M04,1954 Apr,26.86,0.6
CUSR0000SA0,1954,M05,1954 May,26.93,0.9
CUSR0000SA0,1954,M06,1954 Jun,26.94,0.6
CUSR0000SA0,1954,M07,1954 Jul,26.86,0.3
CUSR0000SA0,1954,M08,1954 Aug,26.85,0.0
CUSR0000SA0,1954,M09,1954 Sep,26.81,-0.3
CUSR0000SA0,1954,M10,1954 Oct,26.72,-0.9
CUSR0000SA0,1954,M11,1954 Nov,26.78,-0.3
CUSR0000SA0,1954,M12,1954 Dec,26.77,-0.4
CUSR0000SA0,1955,M01,1955 Jan,26.77,-0.6
CUSR0000SA0,1955,M02,1955 Feb,26.82,-0.6
CUSR0000SA0,1955,M03,1955 Mar,26.79,-0.5
CUSR0000SA0,1955,M04,1955 Apr,26.79,-0.3
CUSR0000SA0,1955,M05,1955 May,26.77,-0.6
CUSR0000SA0,1955,M06,1955 Jun,26.71,-0.9
CUSR0000SA0,1955,M07,1955 Jul,26.76,-0.4
CUSR0000SA0,1955,M08,1955 Aug,26.72,-0.5
CUSR0000SA0,1955,M09,1955 Sep,26.85,0.1
CUSR0000SA0,1955,M10,1955 Oct,26.82,0.4
CUSR0000SA0,1955,M11,1955 Nov,26.88,0.4
CUSR0000SA0,1955,M12,1955 Dec,26.87,0.4
CUSR0000SA0,1956,M01,1956 Jan,26.83,0.2
CUSR0000SA0,1956,M02,1956 Feb,26.86,0.1
CUSR0000SA0,1956,M03,1956 Mar,26.89,0.4
CUSR0000SA0,1956,M04,1956 Apr,26.93,0.5
CUSR0000SA0,1956,M05,1956 May,27.03,1.0
CUSR0000SA0,1956,M06,1956 Jun,27.15,1.6
CUSR0000SA0,1956,M07,1956 Jul,27.29,2.0
CUSR0000SA0,1956,M08,1956 Aug,27.31,2.2
CUSR0000SA0,1956,M09,1956 Sep,27.35,1.9
CUSR0000SA0,1956,M10,1956 Oct,27.51,2.6
CUSR0000SA0,1956,M11,1956 Nov,27.51,2.3
CUSR0000SA0,1956,M12,1956 Dec,27.63,2.8
CUSR0000SA0,1957,M01,1957 Jan,27.67,3.1
CUSR0000SA0,1957,M02,1957 Feb,27.80,3.5
CUSR0000SA0,1957,M03,1957 Mar,27.86,3.6
CUSR0000SA0,1957,M04,1957 Apr,27.93,3.7
CUSR0000SA0,1957,M05,1957 May,28.00,3.6
CUSR0000SA0,1957,M06,1957 Jun,28.11,3.5
CUSR0000SA0,1957,M07,1957 Jul,28.19,3.3
CUSR0000SA0,1957,M08,1957 Aug,28.28,3.6
CUSR0000SA0,1957,M09,1957 Sep,28.32,3.5
CUSR0000SA0,1957,M10,1957 Oct,28.32,2.9
CUSR0000SA0,1957,M11,1957 Nov,28.41,3.3
CUSR0000SA0,1957,M12,1957 Dec,28.47,3.0
CUSR0000SA0,1958,M01,1958 Jan,28.64,3.5
CUSR0000SA0,1958,M02,1958 Feb,28.70,3.2
CUSR0000SA0,1958,M03,1958 Mar,28.87,3.6
CUSR0000SA0,1958,M04,1958 Apr,28.94,3.6
CUSR0000SA0,1958,M05,1958 May,28.94,3.4
CUSR0000SA0,1958,M06,1958 Jun,28.91,2.8
CUSR0000SA0,1958,M07,1958 Jul,28.89,2.5
CUSR0000SA0,1958,M08,1958 Aug,28.94,2.3
CUSR0000SA0,1958,M09,1958 Sep,28.91,2.1
CUSR0000SA0,1958,M10,1958 Oct,28.91,2.1
CUSR0000SA0,1958,M11,1958 Nov,28.95,1.9
CUSR0000SA0,1958,M12,1958 Dec,28.97,1.8
CUSR0000SA0,1959,M01,1959 Jan,29.01,1.3
CUSR0000SA0,1959,M02,1959 Feb,29.00,1.0
CUSR0000SA0,1959,M03,1959 Mar,28.97,0.3
CUSR0000SA0,1959,M04,1959 Apr,28.98,0.1
CUSR0000SA0,1959,M05,1959 May,29.04,0.3
CUSR0000SA0,1959,M06,1959 Jun,29.11,0.7
CUSR0000SA0,1959,M07,1959 Jul,29.15,0.9
CUSR0000SA0,1959,M08,1959 Aug,29.18,0.8
CUSR0000SA0,1959,M09,1959 Sep,29.25,1.2
CUSR0000SA0,1959,M10,1959 Oct,29.35,1.5
CUSR0000SA0,1959,M11,1959 Nov,29.35,1.4
CUSR0000SA0,1959,M12,1959 Dec,29.41,1.5
CUSR0000SA0,1960,M01,1960 Jan,29.37,1.2
CUSR0000SA0,1960,M02,1960 Feb,29.41,1.4
CUSR0000SA0,1960,M03,1960 Mar,29.41,1.5
CUSR0000SA0,1960,M04,1960 Apr,29.54,1.9
CUSR0000SA0,1960,M05,1960 May,29.57,1.8
CUSR0000SA0,1960,M06,1960 Jun,29.61,1.7
CUSR0000SA0,1960,M07,1960 Jul,29.55,1.4
CUSR0000SA0,1960,M08,1960 Aug,29.61,1.5
CUSR0000SA0,1960,M09,1960 Sep,29.61,1.2
CUSR0000SA0,1960,M10,1960 Oct,29.75,1.4
CUSR0000SA0,1960,M11,1960 Nov,29.78,1.5
CUSR0000SA0,1960,M12,1960 Dec,29.81,1.4
CUSR0000SA0,1961,M01,1961 Jan,29.84,1.6
CUSR0000SA0,1961,M02,1961 Feb,29.84,1.5
CUSR0000SA0,1961,M03,1961 Mar,29.84,1.5
CUSR0000SA0,1961,M04,1961 Apr,29.81,0.9
CUSR0000SA0,1961,M05,1961 May,29.84,0.9
CUSR0000SA0,1961,M06,1961 Jun,29.84,0.8
CUSR0000SA0,1961,M07,1961 Jul,29.92,1.3
CUSR0000SA0,1961,M08,1961 Aug,29.94,1.1
CUSR0000SA0,1961,M09,1961 Sep,29.98,1.2
CUSR0000SA0,1961,M10,1961 Oct,29.98,0.8
CUSR0000SA0,1961,M11,1961 Nov,29.98,0.7
CUSR0000SA0,1961,M12,1961 Dec,30.01,0.7
CUSR0000SA0,1962,M01,1962 Jan,30.04,0.7
CUSR0000SA0,1962,M02,1962 Feb,30.11,0.9
CUSR0000SA0,1962,M03,1962 Mar,30.17,1.1
CUSR0000SA0,1962,M04,1962 Apr,30.21,1.3
CUSR0000SA0,1962,M05,1962 May,30.24,1.3
CUSR0000SA0,1962,M06,1962 Jun,30.21,1.2
CUSR0000SA0,1962,M07,1962 Jul,30.22,1.0
CUSR0000SA0,1962,M08,1962 Aug,30.28,1.1
CUSR0000SA0,1962,M09,1962 Sep,30.42,1.5
CUSR0000SA0,1962,M10,1962 Oct,30.38,1.3
CUSR0000SA0,1962,M11,1962 Nov,30.38,1.3
CUSR0000SA0,1962,M12,1962 Dec,30.38,1.2
CUSR0000SA0,1963,M01,1963 Jan,30.44,1.3
